P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Canada_Summer	Baltic_Spring	BarentSea	0.0381049	7.74277	9.72746e-15	0.0140737	274765	50911.3	47173.8
Japan	BarentSea	Baltic_Spring	0.228887	23.1904	0	0.0768518	308582	51496.5	32313.5
NorthSea	Baltic_Spring	BarentSea	0.030032	5.53063	3.1909e-08	0.0106213	274183	48218.4	45406.7
Norway_Costal	Baltic_Spring	BarentSea	0.0103046	2.5458	0.0109027	0.00371134	274434	47793.6	46818.7
Norway_Pelagic	Baltic_Spring	BarentSea	0.0258558	4.72438	2.30819e-06	0.00920195	274209	47883.7	45469.9
UK	Baltic_Spring	BarentSea	0.0312631	6.11003	9.96099e-10	0.0111607	274377	48801.2	45842.3
Vancouver	BarentSea	Baltic_Spring	0.119553	13.6904	0	0.0497461	251636	56445.5	44390.3
BarentSea	WhiteSea	Baltic_Spring	0.110959	14.6045	0	0.0521077	290504	60140.9	48127.5
Canada_Autumn	Canada_Spring	Baltic_Spring	0.00270208	2.92252	0.00347208	0.149734	66844	63306.6	62965.4
Baltic_Spring	Canada_Autumn	Canada_Summer	0.0214814	7.44633	9.59702e-14	0.135474	69011.3	67957.9	65099.6
Canada_Autumn	Baltic_Spring	Japan	0.030036	5.42107	5.92422e-08	0.00887037	293585	46123.3	43433.4
NorthSea	Canada_Autumn	Baltic_Spring	0.0155126	6.38432	1.72162e-10	0.463411	66685.4	64648.3	62673.2
Norway_Costal	Canada_Autumn	Baltic_Spring	0.00987069	6.33584	2.36052e-10	0.362461	65882.1	65461.8	64182.1
Norway_Pelagic	Canada_Autumn	Baltic_Spring	0.00376013	2.81169	0.00492823	0.175246	66741.9	63688.1	63210.9
UK	Canada_Autumn	Baltic_Spring	0.0209234	8.57369	9.97466e-18	0.54142	66514.2	65876.4	63176.2
Canada_Autumn	Baltic_Spring	Vancouver	0.0208213	4.7553	1.98154e-06	0.0068999	285621	45355.2	43505.1
Canada_Autumn	Baltic_Spring	WhiteSea	0.0266671	6.9294	4.22627e-12	0.0108442	265513	49133	46580.6
Baltic_Spring	Canada_Spring	Canada_Summer	0.0249139	8.72229	2.71051e-18	0.156631	69032.3	68095.2	64784.7
Canada_Spring	Baltic_Spring	Japan	0.0279477	4.90435	9.37376e-07	0.00824294	293766	45961.5	43462.3
NorthSea	Canada_Spring	Baltic_Spring	0.0180838	6.97695	3.01663e-12	0.543915	66070.4	65188.7	62872.8
Norway_Costal	Canada_Spring	Baltic_Spring	0.0125039	7.79762	6.30854e-15	0.458505	65818.1	65627.8	64006.9
Norway_Pelagic	Canada_Spring	Baltic_Spring	0.0064016	5.13211	2.86509e-07	0.298462	66431.7	63962.6	63148.8
Baltic_Spring	Canada_Spring	UK	0.0225398	8.92974	4.33681e-19	0.51409	66278.1	66152.9	63236.5
Canada_Spring	Baltic_Spring	Vancouver	0.0198584	4.48691	7.22621e-06	0.0065707	285846	45239.5	43477.7
Canada_Spring	Baltic_Spring	WhiteSea	0.0238608	6.21305	5.19643e-10	0.00969933	265636	48914.9	46635
Canada_Summer	Baltic_Spring	Japan	0.0375188	6.54371	6.00131e-11	0.0116725	292041	49034.6	45488.2
Baltic_Spring	NorthSea	Canada_Summer	0.00425561	1.0577	0.290194	0.0270664	68736	67363.1	66792.2
Baltic_Spring	Norway_Costal	Canada_Summer	0.00194745	0.802493	0.422268	0.0124983	69743.4	67367.5	67105.6
Baltic_Spring	Norway_Pelagic	Canada_Summer	0.0176958	5.83531	5.36906e-09	0.112263	68933.9	67875.7	65515.2
UK	Baltic_Spring	Canada_Summer	0.000241363	0.0598695	0.95226	0.00155208	68975.3	67756.8	67724.1
Canada_Summer	Baltic_Spring	Vancouver	0.0316973	6.99433	2.66536e-12	0.0110706	284196	48399.4	45425.4
Canada_Summer	Baltic_Spring	WhiteSea	0.0366307	9.30048	0	0.0156719	264341	52347.1	48647.6
NorthSea	Baltic_Spring	Japan	0.0280417	4.48253	7.37619e-06	0.0083536	291459	46338.4	43810.5
Norway_Costal	Baltic_Spring	Japan	0.00946749	2.10112	0.03563	0.00286663	291810	46012.9	45149.8
Norway_Pelagic	Baltic_Spring	Japan	0.0284329	4.45992	8.19894e-06	0.00850966	291649	46256.1	43698.4
UK	Baltic_Spring	Japan	0.0286295	4.9662	6.8279e-07	0.00860093	291641	46875.1	44265.8
Japan	Vancouver	Baltic_Spring	0.0887056	15.3233	0	0.0286046	268047	43791.7	36655.6
Japan	WhiteSea	Baltic_Spring	0.311719	37.0379	0	0.125019	296324	65688	34467.6
NorthSea	Norway_Costal	Baltic_Spring	0.00534548	2.00385	0.0450866	0.163681	65948.7	65444.6	64748.7
NorthSea	Norway_Pelagic	Baltic_Spring	0.011469	3.74567	0.000179916	0.3487	66245	64832.1	63361.9
UK	NorthSea	Baltic_Spring	0.00565196	4.00466	6.21074e-05	0.144447	68521.5	63699.6	62983.6
NorthSea	Baltic_Spring	Vancouver	0.0203018	4.25421	2.09789e-05	0.00678693	283551	45625.1	43809.5
NorthSea	Baltic_Spring	WhiteSea	0.0292525	6.80583	1.00465e-11	0.0119906	263703	49611.7	46791.7
Norway_Costal	Norway_Pelagic	Baltic_Spring	0.00605894	3.1288	0.00175521	0.224291	65887.8	65335	64548
Baltic_Spring	Norway_Costal	UK	0.00898332	4.01223	6.01468e-05	0.208415	66443	66205.9	65027
Norway_Costal	Baltic_Spring	Vancouver	0.0066261	1.87055	0.0614074	0.00224487	284045	45428.2	44830.1
Norway_Costal	Baltic_Spring	WhiteSea	0.0105954	3.29652	0.000978897	0.00442102	263975	49212	48180.1
UK	Norway_Pelagic	Baltic_Spring	0.0167675	6.05496	1.40455e-09	0.443033	66211.7	65963.3	63787.7
Norway_Pelagic	Baltic_Spring	Vancouver	0.0212602	4.27718	1.89273e-05	0.00713823	283777	45555.3	43658.6
Norway_Pelagic	Baltic_Spring	WhiteSea	0.0249181	5.82022	5.87713e-09	0.0102796	263756	49247.6	46852.9
UK	Baltic_Spring	Vancouver	0.0209224	4.75264	2.00776e-06	0.00705426	283732	46161.5	44269.5
UK	Baltic_Spring	WhiteSea	0.0302199	7.38756	1.49545e-13	0.0124886	263861	50182.7	47238.6
Vancouver	WhiteSea	Baltic_Spring	0.208031	28.1916	0	0.0994628	241587	70033.4	45913
Canada_Autumn	Canada_Spring	BarentSea	0.00271211	2.02707	0.0426549	0.000914424	279373	44787.4	44545.2
Canada_Summer	Canada_Autumn	BarentSea	0.0111628	6.28325	3.3156e-10	0.00399492	277445	48056.3	46995.3
Japan	BarentSea	Canada_Autumn	0.230676	23.6337	0	0.0754359	310975	51218.9	32018.1
NorthSea	Canada_Autumn	BarentSea	0.00159762	0.82932	0.406923	0.000542713	277662	45017.9	44874.3
Canada_Autumn	Norway_Costal	BarentSea	0.0183307	5.44797	5.09487e-08	0.00639381	276314	46997.2	45305.2
Canada_Autumn	Norway_Pelagic	BarentSea	0.00264868	1.60191	0.109176	0.000906694	277321	45052.2	44814.1
UK	Canada_Autumn	BarentSea	0.00310768	2.01976	0.0434078	0.00106878	277366	45776.6	45492.9
Vancouver	BarentSea	Canada_Autumn	0.112324	13.0831	0	0.0455897	253481	55623.4	44389.6
BarentSea	WhiteSea	Canada_Autumn	0.1127	14.6101	0	0.0515601	292840	59926.7	47787.3
Canada_Summer	Canada_Spring	BarentSea	0.0137018	8.98224	2.1684e-19	0.00489582	277674	48073.5	46773.9
Japan	BarentSea	Canada_Spring	0.231061	23.3466	0	0.0758831	310806	51293.2	32038.5
NorthSea	Canada_Spring	BarentSea	0.00426341	1.91728	0.0552027	0.00145769	276983	45395.7	45010.3
Canada_Spring	Norway_Costal	BarentSea	0.0156862	4.74284	2.10739e-06	0.00547694	276326	46897.9	45449.3
Canada_Spring	Norway_Pelagic	BarentSea	4.1222e-05	0.0206463	0.983528	1.41657e-05	277056	45035.5	45031.8
UK	Canada_Spring	BarentSea	0.0057425	3.17631	0.00149163	0.00198067	276981	46055.8	45529.9
Vancouver	BarentSea	Canada_Spring	0.113727	12.9769	0	0.0463383	253372	55755	44368.2
BarentSea	WhiteSea	Canada_Spring	0.112883	14.7779	0	0.0518755	292632	59991.7	47821.4
Japan	BarentSea	Canada_Summer	0.226492	20.6601	0	0.0709224	311664	51342.7	32380.1
Canada_Summer	NorthSea	BarentSea	0.00965387	3.63877	0.000273948	0.00349283	275302	48403.3	47477.6
Canada_Summer	Norway_Costal	BarentSea	0.0282427	8.05545	7.91901e-16	0.0103996	274924	50189.1	47432
Canada_Summer	Norway_Pelagic	BarentSea	0.0136591	6.0565	1.39115e-09	0.00495221	275519	48350.3	47047.3
Canada_Summer	UK	BarentSea	0.00806447	3.47406	0.000512652	0.00294156	275592	48813.4	48032.4
Vancouver	BarentSea	Canada_Summer	0.111885	11.7095	0	0.0432936	254410	55903.6	44652.9
BarentSea	WhiteSea	Canada_Summer	0.110996	13.1793	0	0.048338	293766	60128.9	48114.4
Japan	BarentSea	NorthSea	0.228365	20.9055	0	0.0716463	310170	50757.5	31884.9
Japan	BarentSea	Norway_Costal	0.227977	22.6498	0	0.0770367	308907	51298.5	32251.1
Japan	BarentSea	Norway_Pelagic	0.23174	20.94	0	0.072798	308110	51058.4	31846.1
Japan	BarentSea	UK	0.226672	23.0345	0	0.0744824	311006	50967.5	32131.3
BarentSea	Japan	Vancouver	0.147727	22.3557	0	0.290873	110713	66139.2	49113.3
BarentSea	Japan	WhiteSea	0.0026592	0.526017	0.598876	0.165672	83927.3	69399.6	69031.4
NorthSea	Norway_Costal	BarentSea	0.0197528	4.92936	8.24982e-07	0.00691619	274974	47181.4	45353.6
NorthSea	Norway_Pelagic	BarentSea	0.0041777	1.59485	0.110745	0.00144369	275305	45480.5	45102.1
UK	NorthSea	BarentSea	0.00151357	0.938693	0.347888	0.000513469	278562	44964.5	44828.6
Vancouver	BarentSea	NorthSea	0.111032	11.5107	0	0.0431453	252841	55201.7	44168.4
BarentSea	WhiteSea	NorthSea	0.112073	13.2038	0	0.0490043	292221	59469.1	47482.7
Norway_Pelagic	Norway_Costal	BarentSea	0.0155978	3.95443	7.67177e-05	0.00552092	274552	47055.7	45610.4
UK	Norway_Costal	BarentSea	0.021084	5.85883	4.66149e-09	0.00745679	275168	47787.4	45813.9
Vancouver	BarentSea	Norway_Costal	0.116093	12.9339	0	0.0486264	251906	56064.9	44401.5
BarentSea	WhiteSea	Norway_Costal	0.110621	14.1201	0	0.0522796	290937	59952.5	48009.6
UK	Norway_Pelagic	BarentSea	0.00558288	2.44903	0.014324	0.00195017	275170	46181.7	45668.9
Vancouver	BarentSea	Norway_Pelagic	0.114963	11.6293	0	0.04468	251280	55506.5	44060
BarentSea	WhiteSea	Norway_Pelagic	0.111511	13.1066	0	0.0488727	290159	59613.7	47652.4
Vancouver	BarentSea	UK	0.110054	12.6587	0	0.044866	253561	55415.1	44427.1
